rule_id,rule_name,fiber_id,u_f_0_1,v_f_0_2,is_complement_AX2,diagonal,d0,d1,d2,is_constant_diagonal,is_standard_diagonal,H_access_exact,H_access_numeric,H_diag_exact,H_diag_numeric,assoc_count,lambda_assoc_over_729,step1_min_H_access_survivor,step2_min_H_diag_survivor,step3_min_assoc_survivor,global_min_assoc_survivor,is_PAB
g1,g1_column_blind_PAB,F00,0,0,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,333,0.4567901234567901,True,True,False,False,False
g1,g1_column_blind_PAB,F00,0,0,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,387,0.5308641975308642,True,True,False,False,False
g1,g1_column_blind_PAB,F00,0,0,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,387,0.5308641975308642,True,True,False,False,False
g1,g1_column_blind_PAB,F01,0,1,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,246,0.3374485596707819,True,True,False,False,False
g1,g1_column_blind_PAB,F01,0,1,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,300,0.411522633744856,True,True,False,False,False
g1,g1_column_blind_PAB,F01,0,1,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,300,0.411522633744856,True,True,False,False,False
g1,g1_column_blind_PAB,F02,0,2,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,321,0.4403292181069959,True,True,False,False,False
g1,g1_column_blind_PAB,F02,0,2,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,375,0.51440329218107,True,True,False,False,False
g1,g1_column_blind_PAB,F02,0,2,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,375,0.51440329218107,True,True,False,False,False
g1,g1_column_blind_PAB,F10,1,0,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,321,0.4403292181069959,True,True,False,False,False
g1,g1_column_blind_PAB,F10,1,0,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,375,0.51440329218107,True,True,False,False,False
g1,g1_column_blind_PAB,F10,1,0,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,375,0.51440329218107,True,True,False,False,False
g1,g1_column_blind_PAB,F11,1,1,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,246,0.3374485596707819,True,True,False,False,False
g1,g1_column_blind_PAB,F11,1,1,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,300,0.411522633744856,True,True,False,False,False
g1,g1_column_blind_PAB,F11,1,1,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,300,0.411522633744856,True,True,False,False,False
g1,g1_column_blind_PAB,F12,1,2,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,333,0.4567901234567901,True,True,False,False,False
g1,g1_column_blind_PAB,F12,1,2,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,387,0.5308641975308642,True,True,False,False,False
g1,g1_column_blind_PAB,F12,1,2,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,387,0.5308641975308642,True,True,False,False,False
g1,g1_column_blind_PAB,F20,2,0,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,246,0.3374485596707819,True,True,False,False,False
g1,g1_column_blind_PAB,F20,2,0,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,300,0.411522633744856,True,True,False,False,False
g1,g1_column_blind_PAB,F20,2,0,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,300,0.411522633744856,True,True,False,False,False
g1,g1_column_blind_PAB,F21,2,1,True,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,219,0.3004115226337449,True,True,True,False,True
g1,g1_column_blind_PAB,F21,2,1,True,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,273,0.37448559670781895,True,True,False,False,False
g1,g1_column_blind_PAB,F21,2,1,True,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,273,0.37448559670781895,True,True,False,False,False
g1,g1_column_blind_PAB,F22,2,2,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,246,0.3374485596707819,True,True,False,False,False
g1,g1_column_blind_PAB,F22,2,2,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,300,0.411522633744856,True,True,False,False,False
g1,g1_column_blind_PAB,F22,2,2,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,300,0.411522633744856,True,True,False,False,False
g5,g5_self_referential_r1,F00,0,0,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,603,0.8271604938271605,True,True,False,False,False
g5,g5_self_referential_r1,F00,0,0,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,495,0.6790123456790124,True,True,False,False,False
g5,g5_self_referential_r1,F00,0,0,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,495,0.6790123456790124,True,True,False,False,False
g5,g5_self_referential_r1,F01,0,1,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,516,0.7078189300411523,True,True,False,False,False
g5,g5_self_referential_r1,F01,0,1,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,408,0.5596707818930041,True,True,False,False,False
g5,g5_self_referential_r1,F01,0,1,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,408,0.5596707818930041,True,True,False,False,False
g5,g5_self_referential_r1,F02,0,2,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,591,0.8106995884773662,True,True,False,False,False
g5,g5_self_referential_r1,F02,0,2,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,483,0.6625514403292181,True,True,False,False,False
g5,g5_self_referential_r1,F02,0,2,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,483,0.6625514403292181,True,True,False,False,False
g5,g5_self_referential_r1,F10,1,0,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,591,0.8106995884773662,True,True,False,False,False
g5,g5_self_referential_r1,F10,1,0,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,483,0.6625514403292181,True,True,False,False,False
g5,g5_self_referential_r1,F10,1,0,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,483,0.6625514403292181,True,True,False,False,False
g5,g5_self_referential_r1,F11,1,1,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,516,0.7078189300411523,True,True,False,False,False
g5,g5_self_referential_r1,F11,1,1,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,408,0.5596707818930041,True,True,False,False,False
g5,g5_self_referential_r1,F11,1,1,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,408,0.5596707818930041,True,True,False,False,False
g5,g5_self_referential_r1,F12,1,2,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,603,0.8271604938271605,True,True,False,False,False
g5,g5_self_referential_r1,F12,1,2,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,495,0.6790123456790124,True,True,False,False,False
g5,g5_self_referential_r1,F12,1,2,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,495,0.6790123456790124,True,True,False,False,False
g5,g5_self_referential_r1,F20,2,0,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,516,0.7078189300411523,True,True,False,False,False
g5,g5_self_referential_r1,F20,2,0,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,408,0.5596707818930041,True,True,False,False,False
g5,g5_self_referential_r1,F20,2,0,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,408,0.5596707818930041,True,True,False,False,False
g5,g5_self_referential_r1,F21,2,1,True,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,489,0.6707818930041153,True,True,False,False,False
g5,g5_self_referential_r1,F21,2,1,True,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,381,0.522633744855967,True,True,False,False,False
g5,g5_self_referential_r1,F21,2,1,True,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,381,0.522633744855967,True,True,False,False,False
g5,g5_self_referential_r1,F22,2,2,False,"(0, 0, 0)",0,0,0,True,True,0,0.0,0,0.0,516,0.7078189300411523,True,True,False,False,False
g5,g5_self_referential_r1,F22,2,2,False,"(1, 1, 1)",1,1,1,True,False,0,0.0,0,0.0,408,0.5596707818930041,True,True,False,False,False
g5,g5_self_referential_r1,F22,2,2,False,"(2, 2, 2)",2,2,2,True,False,0,0.0,0,0.0,408,0.5596707818930041,True,True,False,False,False
